Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x20_Socket","PinSocket_1x20_P2.54mm_Vertical",92.000000,-63.000000,0.000000,top
"J2","Conn_01x20_Socket","PinSocket_1x20_P2.54mm_Vertical",107.250000,-63.000000,0.000000,top
"J3","Conn_01x14_Socket","PinSocket_1x14_P2.54mm_Vertical",80.910000,-128.260000,90.000000,top
"J4","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",108.840000,-133.285000,0.000000,top
"J5","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",85.980000,-133.285000,0.000000,top
"J6","Conn_01x06_Socket","PinSocket_1x06_P2.54mm_Vertical",103.750000,-47.720000,-90.000000,top
"J7","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",68.235000,-98.000000,0.000000,top
"J8","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",73.910000,-98.000000,0.000000,top
"J9","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",87.660000,-103.500000,0.000000,top
"J10","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",87.660000,-109.540000,0.000000,top
"J12","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",77.935000,-136.285000,0.000000,top
"J13","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",77.935000,-141.285000,0.000000,top
"J14","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",90.935000,-136.285000,0.000000,top
"J15","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",90.935000,-141.285000,0.000000,top
"J16","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",116.955000,-136.285000,0.000000,top
"J17","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",116.955000,-141.285000,0.000000,top
"J18","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",103.955000,-136.285000,0.000000,top
"J19","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",103.955000,-141.285000,0.000000,top
"J20","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",116.955000,-148.285000,0.000000,top
"J21","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",116.955000,-153.285000,0.000000,top
"J22","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",103.955000,-148.285000,0.000000,top
"J23","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",103.955000,-153.285000,0.000000,top
"J24","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",77.935000,-148.285000,0.000000,top
"J25","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",77.935000,-153.285000,0.000000,top
"J26","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",90.935000,-148.285000,0.000000,top
"J27","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Vertical",90.935000,-153.285000,0.000000,top
"J32","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Horizontal",114.955000,-84.000000,180.000000,top
"J33","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Horizontal",114.955000,-89.000000,180.000000,top
"J36","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Horizontal",114.955000,-72.000000,180.000000,top
"J37","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Horizontal",114.955000,-77.000000,180.000000,top
"J40","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Horizontal",114.955000,-96.000000,180.000000,top
"J41","Conn_01x01_Socket","PinSocket_1x01_P2.54mm_Horizontal",114.955000,-101.000000,180.000000,top
